patient_id,filename,s3_key,exists,size_bytes,tifffile_ok,tifffile_error,openslide_ok,openslide_error
CH_L_275a,CAVG10489_2024-08-27_11-28-21_2024-08-27_11-13-04_V44F14-133_A1_CH_L_275a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-08-27_11-28-21_2024-08-27_11-13-04_V44F14-133_A1_CH_L_275a_vis.tif,True,27484628,True,,False,Unsupported or missing image file
CH_L_276a,CAVG10489_2024-08-27_12-12-56_2024-08-27_12-03-40_V44F12-046_D1_CH_L_276a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-08-27_12-12-56_2024-08-27_12-03-40_V44F12-046_D1_CH_L_276a_vis.tif,True,27194384,True,,False,Unsupported or missing image file
CH_L_277a,CAVG10489_2024-08-27_12-12-56_2024-08-27_12-03-40_V44F12-046_A1_CH_L_277a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-08-27_12-12-56_2024-08-27_12-03-40_V44F12-046_A1_CH_L_277a_vis.tif,True,19761764,True,,False,Unsupported or missing image file
CH_L_278a,CAVG10489_2024-08-27_13-00-13_2024-08-27_12-53-48_V44M27-318_D1_CH_L_278a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-08-27_13-00-13_2024-08-27_12-53-48_V44M27-318_D1_CH_L_278a_vis.tif,True,25133236,True,,False,Unsupported or missing image file
CH_L_279a,CAVG10489_2024-08-27_13-00-13_2024-08-27_12-53-48_V44M27-318_A1_CH_L_279a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-08-27_13-00-13_2024-08-27_12-53-48_V44M27-318_A1_CH_L_279a_vis.tif,True,25939080,True,,False,Unsupported or missing image file
CH_L_280a,CAVG10489_2024-08-27_13-42-50_2024-08-27_13-38-59_V44J25-044_D1_CH_L_280a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-08-27_13-42-50_2024-08-27_13-38-59_V44J25-044_D1_CH_L_280a_vis.tif,True,26925096,True,,False,Unsupported or missing image file
CH_L_281a,CAVG10489_2024-08-27_13-42-50_2024-08-27_13-38-59_V44J25-044_A1_CH_L_281a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-08-27_13-42-50_2024-08-27_13-38-59_V44J25-044_A1_CH_L_281a_vis.tif,True,29405486,True,,False,Unsupported or missing image file
CH_L_281b,CAVG10489_2024-08-29_12-34-10_2024-08-29_12-26-53_V44M27-375_D1_CH_L_281b_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-08-29_12-34-10_2024-08-29_12-26-53_V44M27-375_D1_CH_L_281b_vis.tif,True,21614462,True,,False,Unsupported or missing image file
CH_L_282a,CAVG10489_2024-08-29_12-34-10_2024-08-29_12-26-53_V44M27-375_A1_CH_L_282a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-08-29_12-34-10_2024-08-29_12-26-53_V44M27-375_A1_CH_L_282a_vis.tif,True,25640740,True,,False,Unsupported or missing image file
CH_L_283a,CAVG10489_2024-08-29_13-52-07_2024-08-29_13-41-35_V44M27-367_D1_CH_L_283a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-08-29_13-52-07_2024-08-29_13-41-35_V44M27-367_D1_CH_L_283a_vis.tif,True,28350740,True,,False,Unsupported or missing image file
CH_L_284a,CAVG10489_2024-08-29_13-52-07_2024-08-29_13-41-35_V44M27-367_A1_CH_L_284a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-08-29_13-52-07_2024-08-29_13-41-35_V44M27-367_A1_CH_L_284a_vis.tif,True,23880824,True,,False,Unsupported or missing image file
CH_L_285a,CAVG10489_2024-09-05_11-09-33_2024-09-05_10-48-20_V44A01-296_D1_CH_L_285a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-09-05_11-09-33_2024-09-05_10-48-20_V44A01-296_D1_CH_L_285a_vis.tif,True,25804782,True,,False,Unsupported or missing image file
CH_L_287a,CAVG10489_2024-09-05_11-54-04_2024-09-05_11-44-29_V44A01-358_D1_CH_L_287a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-09-05_11-54-04_2024-09-05_11-44-29_V44A01-358_D1_CH_L_287a_vis.tif,True,26690634,True,,False,Unsupported or missing image file
CH_L_288a,CAVG10489_2024-09-05_11-54-04_2024-09-05_11-44-29_V44A01-358_A1_CH_L_288a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-09-05_11-54-04_2024-09-05_11-44-29_V44A01-358_A1_CH_L_288a_vis.tif,True,22862406,True,,False,Unsupported or missing image file
CH_L_289a,CAVG10489_2024-09-11_10-56-00_2024-09-11_10-45-56_V44U10-367_D1_CH_L_289a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-09-11_10-56-00_2024-09-11_10-45-56_V44U10-367_D1_CH_L_289a_vis.tif,True,29996602,True,,False,Unsupported or missing image file
